"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
123,10 Mar 2017 15:28:03.212,10 Mar 2017 15:39:44.414,701.201
124,10 Mar 2017 17:04:52.562,10 Mar 2017 17:15:12.577,620.015
125,10 Mar 2017 18:42:42.481,10 Mar 2017 18:51:11.660,509.179
126,10 Mar 2017 20:20:13.105,10 Mar 2017 20:28:16.526,483.421
127,10 Mar 2017 21:56:32.872,10 Mar 2017 22:06:10.077,577.205
128,10 Mar 2017 23:32:09.064,10 Mar 2017 23:43:28.450,679.386
129,11 Mar 2017 01:07:29.622,11 Mar 2017 01:12:46.244,316.622
130,11 Mar 2017 01:14:06.450,11 Mar 2017 01:19:18.696,312.246
131,11 Mar 2017 02:42:48.793,11 Mar 2017 02:53:21.459,632.666
132,11 Mar 2017 04:18:24.762,11 Mar 2017 04:25:20.382,415.620
133,11 Mar 2017 10:30:34.432,11 Mar 2017 10:33:50.799,196.367
134,11 Mar 2017 12:01:01.794,11 Mar 2017 12:10:07.589,545.796
135,11 Mar 2017 13:34:05.796,11 Mar 2017 13:45:31.411,685.614
136,11 Mar 2017 15:09:03.816,11 Mar 2017 15:20:49.769,705.953
137,11 Mar 2017 16:45:41.848,11 Mar 2017 16:56:15.832,633.984
138,11 Mar 2017 18:23:27.627,11 Mar 2017 18:32:09.036,521.409
139,11 Mar 2017 20:01:05.619,11 Mar 2017 20:09:04.180,478.561
140,11 Mar 2017 21:37:33.869,11 Mar 2017 21:46:55.919,562.050
141,11 Mar 2017 23:13:13.688,11 Mar 2017 23:24:22.889,669.202
142,12 Mar 2017 00:48:35.309,12 Mar 2017 00:53:49.493,314.184
143,12 Mar 2017 00:55:16.210,12 Mar 2017 01:00:26.006,309.796
144,12 Mar 2017 02:23:53.959,12 Mar 2017 02:34:43.349,649.390
145,12 Mar 2017 03:59:25.591,12 Mar 2017 04:07:00.151,454.560
146,12 Mar 2017 10:13:02.765,12 Mar 2017 10:14:10.698,67.932
147,12 Mar 2017 11:42:34.065,12 Mar 2017 11:51:11.022,516.957
148,12 Mar 2017 13:15:22.102,12 Mar 2017 13:26:36.985,674.883
149,12 Mar 2017 14:50:06.108,12 Mar 2017 14:55:32.883,326.774
150,12 Mar 2017 14:56:24.093,12 Mar 2017 15:01:55.250,331.157
151,12 Mar 2017 16:26:32.339,12 Mar 2017 16:37:19.506,647.167
152,12 Mar 2017 18:04:12.643,12 Mar 2017 18:13:07.481,534.839
153,12 Mar 2017 19:41:56.782,12 Mar 2017 19:49:52.948,476.165
154,12 Mar 2017 21:18:34.080,12 Mar 2017 21:27:41.275,547.196
155,12 Mar 2017 22:54:18.023,12 Mar 2017 23:05:15.868,657.845
156,13 Mar 2017 00:29:40.948,13 Mar 2017 00:34:59.735,318.786
157,13 Mar 2017 00:36:17.143,13 Mar 2017 00:41:31.540,314.398
158,13 Mar 2017 02:04:59.299,13 Mar 2017 02:16:03.268,663.969
159,13 Mar 2017 03:40:27.563,13 Mar 2017 03:48:37.093,489.530
160,13 Mar 2017 11:24:08.747,13 Mar 2017 11:32:13.783,485.036
161,13 Mar 2017 12:56:40.319,13 Mar 2017 13:07:42.455,662.136
162,13 Mar 2017 14:31:10.125,13 Mar 2017 14:36:23.448,313.323
163,13 Mar 2017 14:37:43.114,13 Mar 2017 14:43:00.829,317.714
164,13 Mar 2017 16:07:24.127,13 Mar 2017 16:18:23.559,659.432
165,13 Mar 2017 17:44:57.765,13 Mar 2017 17:54:06.906,549.141
166,13 Mar 2017 19:22:46.649,13 Mar 2017 19:30:42.948,476.299
167,13 Mar 2017 20:59:33.406,13 Mar 2017 21:08:26.346,532.940
168,13 Mar 2017 22:35:22.042,13 Mar 2017 22:46:07.469,645.427
169,14 Mar 2017 00:10:46.517,14 Mar 2017 00:16:21.168,334.651
170,14 Mar 2017 00:17:05.052,14 Mar 2017 00:22:35.319,330.267
171,14 Mar 2017 01:46:04.777,14 Mar 2017 01:57:21.233,676.456
172,14 Mar 2017 03:21:30.400,14 Mar 2017 03:30:11.457,521.057
173,14 Mar 2017 04:58:19.585,14 Mar 2017 04:59:55.569,95.984
174,14 Mar 2017 11:05:46.015,14 Mar 2017 11:13:15.658,449.643
175,14 Mar 2017 12:38:00.492,14 Mar 2017 12:48:47.789,647.296
176,14 Mar 2017 14:12:15.892,14 Mar 2017 14:17:25.611,309.719
177,14 Mar 2017 14:18:52.373,14 Mar 2017 14:24:06.479,314.107
178,14 Mar 2017 15:48:17.308,14 Mar 2017 15:59:27.924,670.616
179,14 Mar 2017 17:25:43.194,14 Mar 2017 17:35:07.202,564.008
180,14 Mar 2017 19:03:35.286,14 Mar 2017 19:11:34.262,478.976
181,14 Mar 2017 20:40:31.745,14 Mar 2017 20:49:11.343,519.598
182,14 Mar 2017 22:16:25.682,14 Mar 2017 22:26:57.778,632.096
183,14 Mar 2017 23:51:51.987,15 Mar 2017 00:03:37.380,705.394
184,15 Mar 2017 01:27:10.358,15 Mar 2017 01:38:37.286,686.928
185,15 Mar 2017 03:02:33.901,15 Mar 2017 03:11:43.438,549.537
186,15 Mar 2017 04:38:47.517,15 Mar 2017 04:42:15.667,208.150
187,15 Mar 2017 10:47:26.161,15 Mar 2017 10:54:16.341,410.180
188,15 Mar 2017 12:19:22.644,15 Mar 2017 12:29:52.942,630.299
189,15 Mar 2017 13:53:23.439,15 Mar 2017 13:58:36.595,313.156
190,15 Mar 2017 13:59:54.646,15 Mar 2017 14:05:12.174,317.527
191,15 Mar 2017 15:29:11.951,15 Mar 2017 15:40:32.575,680.624
192,15 Mar 2017 17:06:29.131,15 Mar 2017 17:16:08.284,579.153
193,15 Mar 2017 18:44:22.835,15 Mar 2017 18:52:26.928,484.093
194,15 Mar 2017 20:21:29.001,15 Mar 2017 20:29:56.488,507.487
195,15 Mar 2017 21:57:28.899,15 Mar 2017 22:07:46.895,617.996
196,15 Mar 2017 23:32:57.337,15 Mar 2017 23:44:37.753,700.415
197,16 Mar 2017 01:08:16.007,16 Mar 2017 01:19:51.445,695.438
198,16 Mar 2017 02:43:37.914,16 Mar 2017 02:53:13.147,575.233
199,16 Mar 2017 04:19:35.246,16 Mar 2017 04:24:14.490,279.244
200,16 Mar 2017 10:29:09.628,16 Mar 2017 10:35:15.352,365.724
201,16 Mar 2017 12:00:46.816,16 Mar 2017 12:10:57.869,611.053
202,16 Mar 2017 13:34:32.793,16 Mar 2017 13:40:00.889,328.096
203,16 Mar 2017 13:40:45.447,16 Mar 2017 13:46:17.887,332.440
204,16 Mar 2017 15:10:08.123,16 Mar 2017 15:21:37.460,689.337
205,16 Mar 2017 16:47:15.757,16 Mar 2017 16:57:10.048,594.291
206,16 Mar 2017 18:25:09.457,16 Mar 2017 18:33:20.930,491.474
207,16 Mar 2017 20:02:25.085,16 Mar 2017 20:10:42.010,496.925
208,16 Mar 2017 21:38:31.622,16 Mar 2017 21:48:34.937,603.315
209,16 Mar 2017 23:14:02.538,16 Mar 2017 23:25:36.470,693.932
210,17 Mar 2017 00:49:21.707,17 Mar 2017 01:01:03.735,702.028
211,17 Mar 2017 02:24:42.334,17 Mar 2017 02:34:40.677,598.343
212,17 Mar 2017 04:00:29.419,17 Mar 2017 04:06:05.337,335.918
213,17 Mar 2017 10:10:57.219,17 Mar 2017 10:16:11.835,314.616
214,17 Mar 2017 11:42:13.060,17 Mar 2017 11:52:02.514,589.454
215,17 Mar 2017 13:15:43.973,17 Mar 2017 13:27:23.608,699.634
216,17 Mar 2017 14:51:05.866,17 Mar 2017 15:02:42.547,696.681
217,17 Mar 2017 16:28:03.232,17 Mar 2017 16:38:12.424,609.192
218,17 Mar 2017 18:05:55.349,17 Mar 2017 18:14:16.227,500.878
219,17 Mar 2017 19:43:19.905,17 Mar 2017 19:51:28.133,488.228
220,17 Mar 2017 21:19:33.790,17 Mar 2017 21:29:22.039,588.249
221,17 Mar 2017 22:55:07.559,17 Mar 2017 23:06:33.574,686.016
222,18 Mar 2017 00:30:27.427,18 Mar 2017 00:35:51.569,324.142
223,18 Mar 2017 00:36:54.401,18 Mar 2017 00:42:14.186,319.784
224,18 Mar 2017 02:05:47.089,18 Mar 2017 02:16:06.105,619.016
225,18 Mar 2017 03:41:27.003,18 Mar 2017 03:47:51.195,384.192
226,18 Mar 2017 09:52:50.622,18 Mar 2017 09:57:04.074,253.452
227,18 Mar 2017 11:23:41.430,18 Mar 2017 11:33:06.805,565.375
228,18 Mar 2017 12:56:56.998,18 Mar 2017 13:08:29.298,692.300
229,18 Mar 2017 14:32:05.243,18 Mar 2017 14:43:47.806,702.563
230,18 Mar 2017 16:08:51.701,18 Mar 2017 16:19:15.339,623.638
231,18 Mar 2017 17:46:40.718,18 Mar 2017 17:55:12.761,512.044
232,18 Mar 2017 19:24:13.411,18 Mar 2017 19:32:15.070,481.660
233,18 Mar 2017 21:00:35.314,18 Mar 2017 21:10:08.349,573.035
234,18 Mar 2017 22:36:12.366,18 Mar 2017 22:47:29.119,676.754
235,19 Mar 2017 00:11:33.140,19 Mar 2017 00:16:48.381,315.241
236,19 Mar 2017 00:18:11.956,19 Mar 2017 00:23:22.817,310.861
237,19 Mar 2017 01:46:52.103,19 Mar 2017 01:57:29.478,637.375
238,19 Mar 2017 03:22:26.722,19 Mar 2017 03:29:33.289,426.567
239,19 Mar 2017 09:34:54.549,19 Mar 2017 09:37:47.295,172.747
240,19 Mar 2017 11:05:12.007,19 Mar 2017 11:14:10.660,538.654
241,19 Mar 2017 12:38:11.899,19 Mar 2017 12:49:34.932,683.033
242,19 Mar 2017 14:13:06.282,19 Mar 2017 14:24:53.207,706.924
243,19 Mar 2017 15:49:41.289,19 Mar 2017 16:00:18.718,637.430
244,19 Mar 2017 17:27:25.805,19 Mar 2017 17:36:10.435,524.631
245,19 Mar 2017 19:05:05.574,19 Mar 2017 19:13:02.999,477.426
246,19 Mar 2017 20:41:36.121,19 Mar 2017 20:50:54.038,557.917
247,19 Mar 2017 22:17:16.927,19 Mar 2017 22:28:23.165,666.238
248,19 Mar 2017 23:52:38.824,19 Mar 2017 23:57:53.530,314.706
249,19 Mar 2017 23:59:19.338,20 Mar 2017 00:04:29.654,310.315
250,20 Mar 2017 01:27:57.324,20 Mar 2017 01:38:50.843,653.519
251,20 Mar 2017 03:03:27.909,20 Mar 2017 03:11:12.266,464.358
252,20 Mar 2017 10:46:44.887,20 Mar 2017 10:55:13.950,509.062
253,20 Mar 2017 12:19:28.704,20 Mar 2017 12:30:40.488,671.784
254,20 Mar 2017 13:54:09.023,20 Mar 2017 13:59:30.777,321.755
255,20 Mar 2017 14:00:32.579,20 Mar 2017 14:05:58.719,326.139
256,20 Mar 2017 15:30:32.110,20 Mar 2017 15:41:22.503,650.393
257,20 Mar 2017 17:08:10.820,20 Mar 2017 17:17:09.157,538.337
258,20 Mar 2017 18:45:56.392,20 Mar 2017 18:53:52.080,475.688
259,20 Mar 2017 20:22:36.118,20 Mar 2017 20:31:39.294,543.175
260,20 Mar 2017 21:58:21.193,20 Mar 2017 22:09:15.770,654.577
261,20 Mar 2017 23:33:44.450,20 Mar 2017 23:39:05.924,321.474
262,20 Mar 2017 23:40:17.640,20 Mar 2017 23:45:34.720,317.080
263,21 Mar 2017 01:09:02.710,21 Mar 2017 01:20:10.233,667.524
264,21 Mar 2017 02:44:30.147,21 Mar 2017 02:52:48.497,498.350

